Temperature in Kyiv;April;May;June;July;August;September;October
Day;Min temperature, °C;Max temperature, °C
1 April;9;20
2 April;3;11
3 April;2;12
4 April;2;7
5 April;1;10
6 April;2;15
7 April;0;4
8 April;-1;8
9 April;0;11
10 April;0;14
11 April;2;17
12 April;7;14
13 April;8;11
14 April;8;18
15 April;8;16
16 April;7;10
17 April;5;7
18 April;5;12
19 April;4;13
20 April;7;11
21 April;6;14
22 April;6;18
23 April;4;12
24 April;2;10
25 April;2;11
26 April;2;8
27 April;1;10
28 April;2;14
29 April;2;18
30 April;11;22
1 May;11;22
2 May;12;17
3 May;5;14
4 May;4;13
5 May;4;21
6 May;9;16
7 May;6;20
8 May;5;11
9 May;3;15
10 May;5;19
11 May;9;24
12 May;9;16
13 May;8;18
14 May;11;18
15 May;11;20
16 May;11;25
17 May;12;20
18 May;11;16
19 May;12;20
20 May;11;20
21 May;10;20
22 May;9;23
23 May;13;22
24 May;11;18
25 May;11;22
26 May;13;19
27 May;14;23
28 May;15;23
29 May;14;20
30 May;12;17
31 May;9;17
1 June;7;17
2 June;11;18
3 June;13;21
4 June;15;23
5 June;14;24
6 June;14;23
7 June;14;23
8 June;14;25
9 June;16;25
10 June;15;23
11 June;15;23
12 June;14;25
13 June;15;23
14 June;14;26
15 June;18;28
16 June;19;27
17 June;18;28
18 June;18;28
19 June;19;30
20 June;21;30
21 June;20;30
22 June;21;32
23 June;21;34
24 June;22;36
25 June;21;35
26 June;21;32
27 June;19;28
28 June;19;25
29 June;17;27
30 June;16;29
1 July;19;30
2 July;19;28
3 July;19;28
4 July;18;29
5 July;20;28
6 July;20;29
7 July;19;28
8 July;19;31
9 July;18;30
10 July;20;31
11 July;20;32
12 July;20;27
13 July;18;31
14 July;21;33
15 July;23;33
16 July;24;34
17 July;22;34
18 July;21;33
19 July;21;29
20 July;20;29
21 July;18;25
22 July;17;24
23 July;15;26
24 July;17;27
25 July;18;29
26 July;18;30
27 July;19;32
28 July;20;32
29 July;21;33
30 July;21;30
31 July;20;32
1 August;20;31
2 August;19;29
3 August;16;27
4 August;16;27
5 August;17;29
6 August;18;26
7 August;16;24
8 August;15;28
9 August;17;31
10 August;19;29
11 August;19;30
12 August;17;26
13 August;15;26
14 August;17;29
15 August;15;30
16 August;19;32
17 August;18;33
18 August;18;20
19 August;15;23
20 August;15;25
21 August;15;27
22 August;15;25
23 August;14;26
24 August;15;28
25 August;14;21
26 August;14;16
27 August;14;23
28 August;14;23
29 August;14;26
30 August;18;28
31 August;13;23
1 September;12;23
2 September;10;16
3 September;8;19
4 September;9;17
5 September;7;17
6 September;6;16
7 September;7;20
8 September;8;23
9 September;13;25
10 September;14;26
11 September;13;26
12 September;15;26
13 September;15;27
14 September;13;23
15 September;10;21
16 September;10;22
17 September;13;22
18 September;13;20
19 September;9;16
20 September;8;12
21 September;6;8
22 September;6;8
23 September;6;9
24 September;6;14
25 September;10;15
26 September;10;18
27 September;8;13
28 September;7;13
29 September;5;12
30 September;4;14
1 October;3;17
2 October;4;17
3 October;3;17
4 October;4;17
5 October;5;17
6 October;3;15
7 October;1;13
8 October;3;13
9 October;2;13
10 October;3;16
11 October;3;16
12 October;4;15
13 October;7;10
14 October;4;11
15 October;2;15
16 October;4;15
17 October;5;12
18 October;5;11
19 October;1;11
20 October;1;15
21 October;9;19
22 October;10;17
23 October;7;13
24 October;3;8
25 October;0;10
26 October;-2;12
27 October;3;11
28 October;6;15
29 October;7;17
30 October;3;7
31 October;-1;14
